,0
0,"FrozenTrial(number=0, values=[-231.39179187500002], datetime_start=datetime.datetime(2021, 3, 27, 20, 23, 25, 96382), datetime_complete=datetime.datetime(2021, 3, 27, 20, 23, 31, 977842), params={'learning_rate': 0.0009042968840497347, 'hidden_layer_neurons': 128, 'batch_size': 1, 'train_freq': 48, 'gradient_steps': 1}, distributions={'learning_rate': UniformDistribution(high=0.001, low=5e-05), 'hidden_layer_neurons': CategoricalDistribution(choices=(128, 256, 512)), 'batch_size': CategoricalDistribution(choices=(1, 4, 16, 50, 128)), 'train_freq': IntUniformDistribution(high=50, low=1, step=1), 'gradient_steps': CategoricalDistribution(choices=(-1, 1))}, user_attrs={}, system_attrs={}, intermediate_values={}, trial_id=1, state=TrialState.COMPLETE, value=None)"
1,"FrozenTrial(number=1, values=[-402.625312125], datetime_start=datetime.datetime(2021, 3, 27, 20, 23, 31, 994531), datetime_complete=datetime.datetime(2021, 3, 27, 20, 23, 38, 722585), params={'learning_rate': 0.0002290732523967522, 'hidden_layer_neurons': 256, 'batch_size': 4, 'train_freq': 41, 'gradient_steps': 1}, distributions={'learning_rate': UniformDistribution(high=0.001, low=5e-05), 'hidden_layer_neurons': CategoricalDistribution(choices=(128, 256, 512)), 'batch_size': CategoricalDistribution(choices=(1, 4, 16, 50, 128)), 'train_freq': IntUniformDistribution(high=50, low=1, step=1), 'gradient_steps': CategoricalDistribution(choices=(-1, 1))}, user_attrs={}, system_attrs={}, intermediate_values={}, trial_id=2, state=TrialState.COMPLETE, value=None)"
2,"FrozenTrial(number=2, values=[-146.82785675000002], datetime_start=datetime.datetime(2021, 3, 27, 20, 23, 38, 735695), datetime_complete=datetime.datetime(2021, 3, 27, 20, 23, 45, 617838), params={'learning_rate': 0.0008880484094776171, 'hidden_layer_neurons': 128, 'batch_size': 128, 'train_freq': 47, 'gradient_steps': -1}, distributions={'learning_rate': UniformDistribution(high=0.001, low=5e-05), 'hidden_layer_neurons': CategoricalDistribution(choices=(128, 256, 512)), 'batch_size': CategoricalDistribution(choices=(1, 4, 16, 50, 128)), 'train_freq': IntUniformDistribution(high=50, low=1, step=1), 'gradient_steps': CategoricalDistribution(choices=(-1, 1))}, user_attrs={}, system_attrs={}, intermediate_values={}, trial_id=3, state=TrialState.COMPLETE, value=None)"
3,"FrozenTrial(number=3, values=[-215.25227024999998], datetime_start=datetime.datetime(2021, 3, 27, 20, 23, 45, 631147), datetime_complete=datetime.datetime(2021, 3, 27, 20, 23, 52, 645230), params={'learning_rate': 0.0007497694559614002, 'hidden_layer_neurons': 512, 'batch_size': 4, 'train_freq': 48, 'gradient_steps': -1}, distributions={'learning_rate': UniformDistribution(high=0.001, low=5e-05), 'hidden_layer_neurons': CategoricalDistribution(choices=(128, 256, 512)), 'batch_size': CategoricalDistribution(choices=(1, 4, 16, 50, 128)), 'train_freq': IntUniformDistribution(high=50, low=1, step=1), 'gradient_steps': CategoricalDistribution(choices=(-1, 1))}, user_attrs={}, system_attrs={}, intermediate_values={}, trial_id=4, state=TrialState.COMPLETE, value=None)"
4,"FrozenTrial(number=4, values=[-215.51341025], datetime_start=datetime.datetime(2021, 3, 27, 20, 23, 52, 658856), datetime_complete=datetime.datetime(2021, 3, 27, 20, 23, 59, 722850), params={'learning_rate': 0.0008189206232968903, 'hidden_layer_neurons': 256, 'batch_size': 16, 'train_freq': 8, 'gradient_steps': -1}, distributions={'learning_rate': UniformDistribution(high=0.001, low=5e-05), 'hidden_layer_neurons': CategoricalDistribution(choices=(128, 256, 512)), 'batch_size': CategoricalDistribution(choices=(1, 4, 16, 50, 128)), 'train_freq': IntUniformDistribution(high=50, low=1, step=1), 'gradient_steps': CategoricalDistribution(choices=(-1, 1))}, user_attrs={}, system_attrs={}, intermediate_values={}, trial_id=5, state=TrialState.COMPLETE, value=None)"
5,"FrozenTrial(number=5, values=[-240.376340625], datetime_start=datetime.datetime(2021, 3, 27, 20, 23, 59, 735831), datetime_complete=datetime.datetime(2021, 3, 27, 20, 24, 6, 729490), params={'learning_rate': 0.0004523936542788113, 'hidden_layer_neurons': 128, 'batch_size': 128, 'train_freq': 23, 'gradient_steps': -1}, distributions={'learning_rate': UniformDistribution(high=0.001, low=5e-05), 'hidden_layer_neurons': CategoricalDistribution(choices=(128, 256, 512)), 'batch_size': CategoricalDistribution(choices=(1, 4, 16, 50, 128)), 'train_freq': IntUniformDistribution(high=50, low=1, step=1), 'gradient_steps': CategoricalDistribution(choices=(-1, 1))}, user_attrs={}, system_attrs={}, intermediate_values={}, trial_id=6, state=TrialState.COMPLETE, value=None)"
6,"FrozenTrial(number=6, values=[-132.6493195], datetime_start=datetime.datetime(2021, 3, 27, 20, 24, 6, 742768), datetime_complete=datetime.datetime(2021, 3, 27, 20, 24, 13, 835034), params={'learning_rate': 0.0002124453449826641, 'hidden_layer_neurons': 512, 'batch_size': 50, 'train_freq': 31, 'gradient_steps': -1}, distributions={'learning_rate': UniformDistribution(high=0.001, low=5e-05), 'hidden_layer_neurons': CategoricalDistribution(choices=(128, 256, 512)), 'batch_size': CategoricalDistribution(choices=(1, 4, 16, 50, 128)), 'train_freq': IntUniformDistribution(high=50, low=1, step=1), 'gradient_steps': CategoricalDistribution(choices=(-1, 1))}, user_attrs={}, system_attrs={}, intermediate_values={}, trial_id=7, state=TrialState.COMPLETE, value=None)"
7,"FrozenTrial(number=7, values=[-215.38828024999998], datetime_start=datetime.datetime(2021, 3, 27, 20, 24, 13, 848028), datetime_complete=datetime.datetime(2021, 3, 27, 20, 24, 20, 770355), params={'learning_rate': 0.00022289761449156866, 'hidden_layer_neurons': 128, 'batch_size': 1, 'train_freq': 15, 'gradient_steps': 1}, distributions={'learning_rate': UniformDistribution(high=0.001, low=5e-05), 'hidden_layer_neurons': CategoricalDistribution(choices=(128, 256, 512)), 'batch_size': CategoricalDistribution(choices=(1, 4, 16, 50, 128)), 'train_freq': IntUniformDistribution(high=50, low=1, step=1), 'gradient_steps': CategoricalDistribution(choices=(-1, 1))}, user_attrs={}, system_attrs={}, intermediate_values={}, trial_id=8, state=TrialState.COMPLETE, value=None)"
8,"FrozenTrial(number=8, values=[-219.122247125], datetime_start=datetime.datetime(2021, 3, 27, 20, 24, 20, 787205), datetime_complete=datetime.datetime(2021, 3, 27, 20, 24, 27, 787045), params={'learning_rate': 0.0008232792132333691, 'hidden_layer_neurons': 128, 'batch_size': 128, 'train_freq': 48, 'gradient_steps': 1}, distributions={'learning_rate': UniformDistribution(high=0.001, low=5e-05), 'hidden_layer_neurons': CategoricalDistribution(choices=(128, 256, 512)), 'batch_size': CategoricalDistribution(choices=(1, 4, 16, 50, 128)), 'train_freq': IntUniformDistribution(high=50, low=1, step=1), 'gradient_steps': CategoricalDistribution(choices=(-1, 1))}, user_attrs={}, system_attrs={}, intermediate_values={}, trial_id=9, state=TrialState.COMPLETE, value=None)"
9,"FrozenTrial(number=9, values=[-204.75280025], datetime_start=datetime.datetime(2021, 3, 27, 20, 24, 27, 800522), datetime_complete=datetime.datetime(2021, 3, 27, 20, 24, 34, 835478), params={'learning_rate': 0.00015639942086222963, 'hidden_layer_neurons': 256, 'batch_size': 50, 'train_freq': 30, 'gradient_steps': -1}, distributions={'learning_rate': UniformDistribution(high=0.001, low=5e-05), 'hidden_layer_neurons': CategoricalDistribution(choices=(128, 256, 512)), 'batch_size': CategoricalDistribution(choices=(1, 4, 16, 50, 128)), 'train_freq': IntUniformDistribution(high=50, low=1, step=1), 'gradient_steps': CategoricalDistribution(choices=(-1, 1))}, user_attrs={}, system_attrs={}, intermediate_values={}, trial_id=10, state=TrialState.COMPLETE, value=None)"
