,0
0,"FrozenTrial(number=0, values=[-216.537004125], datetime_start=datetime.datetime(2021, 3, 27, 20, 48, 30, 951882), datetime_complete=datetime.datetime(2021, 3, 27, 20, 48, 38, 710124), params={'batch_size': 4, 'gradient_steps': 1, 'hidden_layer_neurons': 128, 'learning_rate': 0.0005810432805156977, 'train_freq': 4}, distributions={'batch_size': CategoricalDistribution(choices=(1, 4, 16, 50, 128)), 'gradient_steps': CategoricalDistribution(choices=(-1, 1)), 'hidden_layer_neurons': CategoricalDistribution(choices=(128, 256, 512)), 'learning_rate': UniformDistribution(high=0.001, low=5e-05), 'train_freq': IntUniformDistribution(high=50, low=1, step=1)}, user_attrs={}, system_attrs={}, intermediate_values={}, trial_id=16, state=TrialState.COMPLETE, value=None)"
1,"FrozenTrial(number=1, values=[-201.95172587500002], datetime_start=datetime.datetime(2021, 3, 27, 20, 48, 31, 2613), datetime_complete=datetime.datetime(2021, 3, 27, 20, 48, 38, 833420), params={'batch_size': 16, 'gradient_steps': -1, 'hidden_layer_neurons': 512, 'learning_rate': 0.0006918887827121371, 'train_freq': 28}, distributions={'batch_size': CategoricalDistribution(choices=(1, 4, 16, 50, 128)), 'gradient_steps': CategoricalDistribution(choices=(-1, 1)), 'hidden_layer_neurons': CategoricalDistribution(choices=(128, 256, 512)), 'learning_rate': UniformDistribution(high=0.001, low=5e-05), 'train_freq': IntUniformDistribution(high=50, low=1, step=1)}, user_attrs={}, system_attrs={}, intermediate_values={}, trial_id=17, state=TrialState.COMPLETE, value=None)"
2,"FrozenTrial(number=2, values=[-245.34708525], datetime_start=datetime.datetime(2021, 3, 27, 20, 48, 31, 70568), datetime_complete=datetime.datetime(2021, 3, 27, 20, 48, 38, 833151), params={'learning_rate': 0.0005044629379885422, 'hidden_layer_neurons': 128, 'batch_size': 128, 'train_freq': 20, 'gradient_steps': 1}, distributions={'learning_rate': UniformDistribution(high=0.001, low=5e-05), 'hidden_layer_neurons': CategoricalDistribution(choices=(128, 256, 512)), 'batch_size': CategoricalDistribution(choices=(1, 4, 16, 50, 128)), 'train_freq': IntUniformDistribution(high=50, low=1, step=1), 'gradient_steps': CategoricalDistribution(choices=(-1, 1))}, user_attrs={}, system_attrs={}, intermediate_values={}, trial_id=18, state=TrialState.COMPLETE, value=None)"
3,"FrozenTrial(number=3, values=[-140.0397505], datetime_start=datetime.datetime(2021, 3, 27, 20, 48, 38, 736529), datetime_complete=datetime.datetime(2021, 3, 27, 20, 48, 46, 125391), params={'batch_size': 50, 'gradient_steps': -1, 'hidden_layer_neurons': 512, 'learning_rate': 0.0009203993199606311, 'train_freq': 23}, distributions={'batch_size': CategoricalDistribution(choices=(1, 4, 16, 50, 128)), 'gradient_steps': CategoricalDistribution(choices=(-1, 1)), 'hidden_layer_neurons': CategoricalDistribution(choices=(128, 256, 512)), 'learning_rate': UniformDistribution(high=0.001, low=5e-05), 'train_freq': IntUniformDistribution(high=50, low=1, step=1)}, user_attrs={}, system_attrs={}, intermediate_values={}, trial_id=19, state=TrialState.COMPLETE, value=None)"
4,"FrozenTrial(number=4, values=[-371.655136125], datetime_start=datetime.datetime(2021, 3, 27, 20, 48, 38, 858039), datetime_complete=datetime.datetime(2021, 3, 27, 20, 48, 46, 376155), params={'learning_rate': 0.000663150392746517, 'hidden_layer_neurons': 512, 'batch_size': 128, 'train_freq': 47, 'gradient_steps': -1}, distributions={'learning_rate': UniformDistribution(high=0.001, low=5e-05), 'hidden_layer_neurons': CategoricalDistribution(choices=(128, 256, 512)), 'batch_size': CategoricalDistribution(choices=(1, 4, 16, 50, 128)), 'train_freq': IntUniformDistribution(high=50, low=1, step=1), 'gradient_steps': CategoricalDistribution(choices=(-1, 1))}, user_attrs={}, system_attrs={}, intermediate_values={}, trial_id=20, state=TrialState.COMPLETE, value=None)"
5,"FrozenTrial(number=5, values=[-142.43718575000003], datetime_start=datetime.datetime(2021, 3, 27, 20, 48, 38, 859083), datetime_complete=datetime.datetime(2021, 3, 27, 20, 48, 46, 227956), params={'batch_size': 128, 'gradient_steps': -1, 'hidden_layer_neurons': 128, 'learning_rate': 0.0005415401720315628, 'train_freq': 22}, distributions={'batch_size': CategoricalDistribution(choices=(1, 4, 16, 50, 128)), 'gradient_steps': CategoricalDistribution(choices=(-1, 1)), 'hidden_layer_neurons': CategoricalDistribution(choices=(128, 256, 512)), 'learning_rate': UniformDistribution(high=0.001, low=5e-05), 'train_freq': IntUniformDistribution(high=50, low=1, step=1)}, user_attrs={}, system_attrs={}, intermediate_values={}, trial_id=21, state=TrialState.COMPLETE, value=None)"
6,"FrozenTrial(number=6, values=[-189.61182050000002], datetime_start=datetime.datetime(2021, 3, 27, 20, 48, 46, 143967), datetime_complete=datetime.datetime(2021, 3, 27, 20, 48, 53, 600452), params={'batch_size': 1, 'gradient_steps': -1, 'hidden_layer_neurons': 128, 'learning_rate': 0.000314399183606598, 'train_freq': 36}, distributions={'batch_size': CategoricalDistribution(choices=(1, 4, 16, 50, 128)), 'gradient_steps': CategoricalDistribution(choices=(-1, 1)), 'hidden_layer_neurons': CategoricalDistribution(choices=(128, 256, 512)), 'learning_rate': UniformDistribution(high=0.001, low=5e-05), 'train_freq': IntUniformDistribution(high=50, low=1, step=1)}, user_attrs={}, system_attrs={}, intermediate_values={}, trial_id=22, state=TrialState.COMPLETE, value=None)"
7,"FrozenTrial(number=7, values=[-219.946663], datetime_start=datetime.datetime(2021, 3, 27, 20, 48, 46, 246298), datetime_complete=datetime.datetime(2021, 3, 27, 20, 48, 53, 666751), params={'batch_size': 1, 'gradient_steps': 1, 'hidden_layer_neurons': 128, 'learning_rate': 0.000200332850196143, 'train_freq': 25}, distributions={'batch_size': CategoricalDistribution(choices=(1, 4, 16, 50, 128)), 'gradient_steps': CategoricalDistribution(choices=(-1, 1)), 'hidden_layer_neurons': CategoricalDistribution(choices=(128, 256, 512)), 'learning_rate': UniformDistribution(high=0.001, low=5e-05), 'train_freq': IntUniformDistribution(high=50, low=1, step=1)}, user_attrs={}, system_attrs={}, intermediate_values={}, trial_id=23, state=TrialState.COMPLETE, value=None)"
8,"FrozenTrial(number=8, values=[-159.14646375], datetime_start=datetime.datetime(2021, 3, 27, 20, 48, 46, 394533), datetime_complete=datetime.datetime(2021, 3, 27, 20, 48, 53, 863363), params={'learning_rate': 0.0006771410136085164, 'hidden_layer_neurons': 256, 'batch_size': 128, 'train_freq': 30, 'gradient_steps': -1}, distributions={'learning_rate': UniformDistribution(high=0.001, low=5e-05), 'hidden_layer_neurons': CategoricalDistribution(choices=(128, 256, 512)), 'batch_size': CategoricalDistribution(choices=(1, 4, 16, 50, 128)), 'train_freq': IntUniformDistribution(high=50, low=1, step=1), 'gradient_steps': CategoricalDistribution(choices=(-1, 1))}, user_attrs={}, system_attrs={}, intermediate_values={}, trial_id=24, state=TrialState.COMPLETE, value=None)"
9,"FrozenTrial(number=9, values=[-227.225544125], datetime_start=datetime.datetime(2021, 3, 27, 20, 48, 53, 618696), datetime_complete=datetime.datetime(2021, 3, 27, 20, 49, 1, 313556), params={'batch_size': 1, 'gradient_steps': -1, 'hidden_layer_neurons': 128, 'learning_rate': 0.0007679140414268136, 'train_freq': 31}, distributions={'batch_size': CategoricalDistribution(choices=(1, 4, 16, 50, 128)), 'gradient_steps': CategoricalDistribution(choices=(-1, 1)), 'hidden_layer_neurons': CategoricalDistribution(choices=(128, 256, 512)), 'learning_rate': UniformDistribution(high=0.001, low=5e-05), 'train_freq': IntUniformDistribution(high=50, low=1, step=1)}, user_attrs={}, system_attrs={}, intermediate_values={}, trial_id=25, state=TrialState.COMPLETE, value=None)"
10,"FrozenTrial(number=10, values=[-221.27044525], datetime_start=datetime.datetime(2021, 3, 27, 20, 48, 53, 689169), datetime_complete=datetime.datetime(2021, 3, 27, 20, 49, 1, 437627), params={'batch_size': 4, 'gradient_steps': 1, 'hidden_layer_neurons': 128, 'learning_rate': 0.0003414629961082142, 'train_freq': 35}, distributions={'batch_size': CategoricalDistribution(choices=(1, 4, 16, 50, 128)), 'gradient_steps': CategoricalDistribution(choices=(-1, 1)), 'hidden_layer_neurons': CategoricalDistribution(choices=(128, 256, 512)), 'learning_rate': UniformDistribution(high=0.001, low=5e-05), 'train_freq': IntUniformDistribution(high=50, low=1, step=1)}, user_attrs={}, system_attrs={}, intermediate_values={}, trial_id=26, state=TrialState.COMPLETE, value=None)"
11,"FrozenTrial(number=11, values=[-240.13061399999998], datetime_start=datetime.datetime(2021, 3, 27, 20, 48, 53, 881245), datetime_complete=datetime.datetime(2021, 3, 27, 20, 49, 1, 728906), params={'learning_rate': 0.0005078646383280396, 'hidden_layer_neurons': 128, 'batch_size': 4, 'train_freq': 48, 'gradient_steps': 1}, distributions={'learning_rate': UniformDistribution(high=0.001, low=5e-05), 'hidden_layer_neurons': CategoricalDistribution(choices=(128, 256, 512)), 'batch_size': CategoricalDistribution(choices=(1, 4, 16, 50, 128)), 'train_freq': IntUniformDistribution(high=50, low=1, step=1), 'gradient_steps': CategoricalDistribution(choices=(-1, 1))}, user_attrs={}, system_attrs={}, intermediate_values={}, trial_id=27, state=TrialState.COMPLETE, value=None)"
